Ref,From,To,Level,Item Name,Type,Size,Align,Picture,Occurs,Value Range
2,1,9,5,MAF-COMCODE,D,9,,9(9),,9 digits
3,10,10,5,DELIMITER,D,1,,X,,|
4,11,15,5,MAF-SITC,D,5,,9(5),,5 digits
5,16,16,5,DELIMITER,D,1,,X,,|
6,17,19,5,MAF-RECORD-TYPE,D,3,,9(3),,3 digits
7,20,20,5,DELIMITER,D,1,,X,,|
9,21,23,10,MAF-COD-SEQUENCE,D,3,,9(3),,3 digits
10,24,24,10,DELIMITER,D,1,,X,,|
11,25,26,10,MAF-COD-ALPHA,D,2,,XX,,2 characters
12,27,27,10,DELIMITER,D,1,,X,,|
13,28,29,10,MAF-ACCOUNT-MM,D,2,,99,,2 digits
14,30,30,10,MAF-DATE-DELIMITER,D,1,,X,,/
15,31,34,10,MAF-ACCOUNT-CCYY,D,4,,9(4),,4 digits
16,35,35,10,DELIMITER,D,1,,X,,|
17,36,38,10,MAF-PORT-SEQUENCE,D,3,,9(3),,3 digits
18,39,39,10,DELIMITER,D,1,,X,,|
19,40,42,10,MAF-PORT-ALPHA,D,3,,XXX,,3 characters
20,43,43,10,DELIMITER,D,1,,X,,|
21,44,46,10,MAF-FLAG-SEQUENCE,D,3,,9(3),,3 digits
22,47,47,10,DELIMITER,D,1,,X,,|
23,48,49,10,MAF-FLAG-ALPHA,D,2,,XX,,2 characters
24,50,50,10,DELIMITER,D,1,,X,,|
25,51,51,10,MAF-TRADE-INDICATOR,D,1,,9,,1 digit
26,52,52,10,DELIMITER,D,1,,X,,|
27,53,55,10,MAF-CONTAINER,D,3,,9(3),,3 digits
28,56,56,10,DELIMITER,D,1,,X,,|
29,57,59,10,MAF-MODE-OF-TRANSPORT,D,3,,9(3),,3 digits
30,60,60,10,DELIMITER,D,1,,X,,|
31,61,62,10,MAF-INLAND-MOT,D,2,,99,,2 digits
32,63,63,10,DELIMITER,D,1,,X,,|
33,64,66,10,MAF-GOLO-SEQUENCE,D,3,,9(3),,3 digits
34,67,67,10,DELIMITER,D,1,,X,,|
35,68,70,10,MAF-GOLO-ALPHA,D,3,,XXX,,3 characters
36,71,71,10,DELIMITER,D,1,,X,,|
37,72,74,10,MAF-SUITE-INDICATOR,D,3,,9(3),,3 digits
38,75,75,10,DELIMITER,D,1,,X,,|
39,76,78,10,MAF-PROCEDURE-CODE,D,3,,9(3),,3 digits
40,79,79,10,DELIMITER,D,1,,X,,|
41,80,95,10,MAF-VALUE,D,16,,S9(15),,Leading Sign+15 digits
42,96,96,10,DELIMITER,D,1,,X,,|
43,97,110,10,MAF-QUANTITY-1,D,14,,S9(13),,Leading Sign+13 digits
44,111,111,10,DELIMITER,D,1,,X,,|
45,112,125,10,MAF-QUANTITY-2,D,14,,S9(13),,Leading Sign+13 digits
46,126,126,10,DELIMITER,D,1,,X,,|
47,127,141,10,MAF-INDUSTRIAL-PLANT-COMCODE,D,15,,9(15),,15 digits
48,1,8,,COMCODE8,,,,,,
