,Ref,From,To,Level,Item Name,Type,Size,Algn,Picture,Occurs,Value Range
0,2,1,9,5,DUMMY-COMCODE,D,9,,9(9),,9 digits
1,3,10,10,5,DELIMITER,D,1,,X,,|
2,4,11,23,5,MAF-RECORD-0-COUNT,D,13,,9(13),,13 digits
3,5,24,24,5,DELIMITER,D,1,,X,,|
4,6,25,37,5,MAF-RECORD-1-COUNT,D,13,,9(13),,13 digits
5,7,38,38,5,DELIMITER,D,1,,X,,|
6,8,39,51,5,MAF-RECORD-2-COUNT,D,13,,9(13),,13 digits
7,9,52,52,5,DELIMITER,D,1,,X,,|
8,10,53,65,5,MAF-RECORD-3-COUNT,D,13,,9(13),,13 digits
9,11,66,66,5,DELIMITER,D,1,,X,,|
10,12,67,84,5,MAF-MONTHS-VALUE-TOTAL,D,18,,S9(17),,Leading Sign+17 digits
11,13,85,85,5,DELIMITER,D,1,,X,,|
12,14,86,103,5,MAF-AMENDMENT-VALUE-TOTAL,D,18,,S9(17),,Leading Sign+17 digits
